scenario,calibration,year,deliveries,ticket_eur,retained_per_delivery_cents,fixed_per_delivery_eur,gross_eur,carrier_eur,drum_fee_eur,vat_eur,insurance_eur,stripe_eur,social_pool_eur,platform_retained_eur,fixed_eur,ebitda_eur,ebitda_margin_pct
pessimistic,BASE,Y1,2400,7.75,56,83.00,18600.00,14880.00,2784.00,552.00,936.00,888.00,456.00,1344.00,199200.00,-197856.00,-1063.75
pessimistic,BASE,Y2,9600,7.75,56,20.75,74400.00,59520.00,11136.00,2208.00,3744.00,3552.00,1824.00,5376.00,199200.00,-193824.00,-260.52
pessimistic,BASE,Y3,24000,7.75,56,8.30,186000.00,148800.00,27840.00,5520.00,9360.00,8880.00,4560.00,13440.00,199200.00,-185760.00,-99.88
base,BASE,Y1,6000,7.75,56,33.20,46500.00,37200.00,6960.00,1380.00,2340.00,2220.00,1140.00,3360.00,199200.00,-195840.00,-421.17
base,BASE,Y2,30000,7.75,56,6.64,232500.00,186000.00,34800.00,6900.00,11700.00,11100.00,5700.00,16800.00,199200.00,-182400.00,-78.46
base,BASE,Y3,96000,7.75,56,2.08,744000.00,595200.00,111360.00,22080.00,37440.00,35520.00,18240.00,53760.00,199200.00,-145440.00,-19.55
optimistic,BASE,Y1,12000,7.75,56,16.60,93000.00,74400.00,13920.00,2760.00,4680.00,4440.00,2280.00,6720.00,199200.00,-192480.00,-206.97
optimistic,BASE,Y2,72000,7.75,56,2.77,558000.00,446400.00,83520.00,16560.00,28080.00,26640.00,13680.00,40320.00,199200.00,-158880.00,-28.48
optimistic,BASE,Y3,240000,7.75,56,0.83,1860000.00,1488000.00,278400.00,55200.00,93600.00,88800.00,45600.00,134400.00,199200.00,-64800.00,-3.49
